Barrio;Anyo;Precio;Superficie (Ha) ;Densidad (hab/Ha) ;Sexo de la población;Hombres;Mujeres;Edad media de la población;De 0 a 14 años;De 15 a 29;De 30 a 44;De 45 a 64;De 65 a 79;De 80 y + ;De 65 y +;Población en etapa educativa (De 3 a 16 años -16 no incluidos-);Personas con nacionalidad española;Personas con nacionalidad española HOMBRES;Personas con nacionalidad española MUJERES;Personas con nacionalidad extranjera;Personas con nacionalidad extranjera HOMBRES;Personas con nacionalidad extranjera MUJERES;Nº total de hogares;Tamaño medio del hogar;Hogares con una mujer sola >65 años;Hogares con un hombre solo >65 años;Hogares monoparentales: una mujer adulta con uno o más menores;Hogares monoparentales: un hombre adulto con uno o más menores;Tasa bruta de natalidad 2016 (‰);Tasa de crecimiento demográfico 2016 (‰);Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);Esperanza de vida al nacer MUJERES;Esperanza de vida al nacer HOMBRES;Esperanza de vida > 65 años MUJERES;Esperanza de vida > 65 años HOMBRES;Renta neta media anual de los hogares (Urban Audit) 2014;Renta disponible Bruta Per Cápita 2014(a);Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;Pensión media mensual del Distrito HOMBRES (2015);Pensión media mensual del Distrito MUJERES (2015);151 Población en etapas educativas (01/01/2017);0 a 2 años;Infantil (3 a 5 años);Primaria (6 a 11 años);Secundaria (12 a 15 años);Etapas educativas Total niños;0 a 2 años;Infantil (3 a 5 años);Primaria (6 a 11 años);Secundaria (12 a 15 años);Etapas educativas Total niñas;0 a 2 años;Infantil (3 a 5 años);Primaria (6 a 11 años);Secundaria (12 a 15 años);152 Escolarización de alumnos por tipo de centro (año escolar 2015/16);En centros PRIVADOS CONCERTADOS;En centros PRIVADOS SIN CONCIERTO;En centros PÚBLICOS;Total alumnos extranjeros;En centros PRIVADOS CONCERTADOS;En centros PRIVADOS SIN CONCIERTO;En centros PÚBLICOS;Total alumnos con necesidades de apoyo educativo;En centros PRIVADOS CONCERTADOS;En centros PRIVADOS SIN CONCIERTO;En centros PÚBLICOS;No sabe leer ni escribir o sin estudios;Primaria incompleta;Bachiller Elemental. Graduado Escolar. ESO.Formación profesional 1º grado;Formación profesional 2º grado. Bachiller Superior o BUP;Titulados medios. diplomados. arquitecto o ingeniero técnico;Estudios superiores. licenciado. arquitecto o ingeniero superior. estudios superiores no universitarios. doctorado. estudios postgraduados;Nivel de estudios desconocido y no consta;Calidad de vida relacionada con la salud (CVRS) ;Nº de personas con grado de discapacidad reconocido;Hombres;Mujeres;Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);Satisfacción de vivir en su barrio ;Calidad de vida actual en su barrio ;Convivencia vecinal;Espacios verdes;Parques infantiles ;Centros culturales;Organización de fiestas y eventos populares;Instalaciones deportivas;Servicios sociales municipales;Percepción de seguridad en Madrid;Percepción de seguridad en el barrio por el día;Percepción de seguridad en el barrio por la noche;1º Personas orinando en la calle;2º Residuos por excremento de animales domésticos;3º Molestias por ruido;Nº de edificios;Nº de viviendas;Nº Total de viviendas (Censo Edificios y Viviendas 2011);Viviendas anteriores a 1980;Estado ruinoso;Estado malo;Estado deficiente;Estado bueno;No consta;Valor catastral medio de los bienes inmuebles: personas físicas (2016);Valor catastral medio de los bienes inmuebles: personas jurídicas (2016);Superficie media de la vivienda (m2) en transacción (2016);Duración media del crédito (meses) en transacción de vivienda (2016);Nº Total de viviendas familiares (Censo Edificios y Viviendas 2011);Principal;Secundaria;Desocupada;Otro tipo;kg/habitante/año;kg/habitante/día;Relacionadas con las personas;Relacionadas con la tenencia de armas;Relacionadas con el patrimonio;Relacionadas con la tenencia y consumo de drogas;Expedientes instruidos por Agentes Tutores;Atestados/partes de accidentes de tráfico confeccionados;Total detenidos e investigados;Nº de Bibliotecas Municipales;Nº de Bibliotecas Comunidad Madrid;Nº de Centros Culturales;Centros deportivos Municipales;Gestión directa;Gestión indirecta;Superficie deportiva m2 ;Superficie deportiva m2 en cdm gestión directa;Superficie deportiva m2 en cdm gestión indirecta;Instalaciones deportivas básicas (2016);Acceso controlado;m2 de superficie en idb acceso controlado;Acceso libre ;m2 de superficie en idb acceso libre;Campos de fútbol ;Pista de atletismo ;Piscinas cubiertas;Piscinas de verano;Zonas verdes (Ha);"Relación de zona verde (m2)/habitante (deseables 15m2/hab; mínimo 10m2/hab)";Escuelas Infantiles Municipales;Escuelas Infantiles Públicas CAM;Escuelas Infantiles Privadas;Colegios Públicos Infantil y Primaria (+ 3 centros con Secundaria);Institutos Públicos de Educación Secundaria;Colegios Privados Inf o Pri o Inf y Pri;Colegios Privados Inf. Pri y Sec o Pri y Sec ;Mercados Municipales
1;1;8.89;407.28;148.21;95775.85;44464.73;51311.13;27.89;11839.24;13407.30;24386.24;28210.59;11552.47;6380.01;17932.49;9880.42;86805.51;40216.21;46589.30;8969.71;4247.88;4721.83;40436.80;1.49;3718.47;1019.74;726.05;140.55;5.98;0.18;54.45;50.69;55.37;52.07;15.69;12.91;24143.90;14418.87;502.39;908.93;616.50;12560.87;2680.45;2369.11;4531.49;2979.82;6369.30;1389.07;1237.81;2219.74;1522.68;6191.57;1291.38;1131.30;2311.75;1457.14;10887.56;3475.20;1655.67;5756.70;808.61;262.81;21.43;524.37;314.49;158.82;2.52;153.15;2235.49;7017.20;15863.38;15087.54;9652.90;26224.05;115.97;12.44;5558.80;2505.24;3053.56;76.82;46.45;47.33;44.81;4.35;4.03;4.60;3.84;4.22;3.66;42.86;47.58;38.95;3.21;2.90;2.77;0.00;0.00;48062.82;28941.05;340.33;1188.02;4537.80;41161.59;831.93;54004.50;189758.07;46.99;195.38;41945.62;32743.98;3721.62;5040.73;439.28;161.97;0.44;339.70;14.50;1137.60;180.25;8.19;383.19;423.53;0.63;0.00;2.52;3.15;3.15;0.00;43090.15;43090.15;0.00;11.34;1.89;945.37;9.45;11269.49;0.63;0.00;1.26;0.63;81.75;5.38;1.89;2.52;20.17;5.67;1.26;1.26;4.41;1.26
1;2;9.35;428.72;156.01;100816.69;46804.97;54011.71;29.36;12462.35;14112.94;25669.73;29695.36;12160.50;6715.81;18876.30;10400.44;91374.22;42332.86;49041.37;9441.80;4471.45;4970.35;42565.05;1.57;3914.18;1073.41;764.26;147.94;6.30;0.19;57.31;53.36;58.28;54.81;16.52;13.59;25414.63;15177.76;528.83;956.77;648.95;13221.97;2821.53;2493.80;4769.99;3136.65;6704.53;1462.18;1302.96;2336.57;1602.82;6517.44;1359.35;1190.84;2433.43;1533.83;11460.59;3658.10;1742.81;6059.68;851.17;276.65;22.56;551.97;331.05;167.18;2.65;161.21;2353.15;7386.52;16698.29;15881.62;10160.95;27604.26;122.07;13.10;5851.37;2637.10;3214.27;80.86;48.89;49.82;47.17;4.58;4.25;4.84;4.05;4.44;3.85;45.11;50.09;41.00;3.38;3.05;2.92;0.00;0.00;50592.44;30464.27;358.25;1250.55;4776.63;43327.99;875.71;56846.84;199745.34;49.46;205.66;44153.28;34467.35;3917.50;5306.04;462.40;170.50;0.47;357.58;15.26;1197.47;189.74;8.62;403.36;445.82;0.66;0.00;2.65;3.32;3.32;0.00;45358.05;45358.05;0.00;11.94;1.99;995.13;9.95;11862.62;0.66;0.00;1.33;0.66;86.05;5.66;1.99;2.65;21.23;5.97;1.33;1.33;4.64;1.33
1;3;9.85;451.28;164.22;106122.83;49268.39;56854.43;30.90;13118.27;14855.73;27020.76;31258.28;12800.52;7069.27;19869.79;10947.83;96183.39;44560.90;51622.49;9938.74;4706.79;5231.94;44805.32;1.65;4120.19;1129.91;804.48;155.73;6.63;0.20;60.33;56.17;61.35;57.69;17.39;14.30;26752.24;15976.59;556.67;1007.13;683.11;13917.86;2970.03;2625.05;5021.05;3301.74;7057.40;1539.14;1371.53;2459.54;1687.18;6860.47;1430.89;1253.52;2561.50;1614.56;12063.78;3850.63;1834.53;6378.61;895.97;291.21;23.74;581.02;348.47;175.98;2.79;169.70;2477.00;7775.29;17577.15;16717.50;10695.73;29057.12;128.49;13.79;6159.33;2775.89;3383.44;85.12;51.47;52.45;49.65;4.82;4.47;5.10;4.26;4.68;4.05;47.49;52.72;43.16;3.56;3.21;3.07;0.00;0.00;53255.20;32067.65;377.10;1316.37;5028.03;45608.41;921.81;59838.78;210258.25;52.06;216.48;46477.14;36281.42;4123.68;5585.30;486.74;179.47;0.49;376.40;16.06;1260.50;199.72;9.08;424.59;469.28;0.70;0.00;2.79;3.49;3.49;0.00;47745.32;47745.32;0.00;12.57;2.10;1047.51;10.48;12486.97;0.70;0.00;1.40;0.70;90.58;5.96;2.10;2.79;22.35;6.29;1.40;1.40;4.89;1.40
1;4;10.36;475.03;172.86;111708.24;51861.47;59846.77;32.53;13808.70;15637.61;28442.91;32903.45;13474.23;7441.34;20915.57;11524.04;101245.68;46906.21;54339.46;10461.83;4954.52;5507.31;47163.50;1.74;4337.04;1189.38;846.83;163.93;6.98;0.22;63.50;59.12;64.58;60.73;18.31;15.06;28160.25;16817.46;585.97;1060.13;719.06;14650.38;3126.35;2763.21;5285.31;3475.51;7428.84;1620.14;1443.72;2588.99;1775.98;7221.54;1506.20;1319.49;2696.32;1699.53;12698.71;4053.30;1931.09;6714.33;943.12;306.53;24.99;611.60;366.81;185.24;2.94;178.63;2607.37;8184.51;18502.26;17597.36;11258.67;30586.44;135.26;14.51;6483.51;2921.99;3561.52;89.60;54.18;55.21;52.27;5.07;4.70;5.37;4.48;4.93;4.26;49.99;55.50;45.43;3.75;3.38;3.23;0.00;0.00;56058.11;33755.42;396.95;1385.65;5292.66;48008.85;970.32;62988.19;221324.48;54.80;227.88;48923.31;38190.96;4340.72;5879.26;512.36;188.92;0.52;396.21;16.91;1326.84;210.24;9.56;446.94;493.98;0.74;0.00;2.94;3.68;3.68;0.00;50258.23;50258.23;0.00;13.23;2.21;1102.64;11.03;13144.18;0.74;0.00;1.47;0.74;95.35;6.27;2.21;2.94;23.52;6.62;1.47;1.47;5.15;1.47
1;5;10.91;500.03;181.96;117587.62;54591.02;62996.60;34.24;14535.47;16460.64;29939.91;34635.21;14183.40;7832.98;22016.39;12130.56;106574.40;49374.96;57199.43;11012.45;5215.28;5797.17;49645.78;1.83;4565.31;1251.98;891.40;172.55;7.34;0.23;66.85;62.24;67.98;63.93;19.27;15.85;29642.37;17702.59;616.81;1115.93;756.90;15421.45;3290.89;2908.64;5563.48;3658.44;7819.83;1705.41;1519.71;2725.26;1869.45;7601.62;1585.48;1388.94;2838.23;1788.98;13367.07;4266.63;2032.72;7067.72;992.76;322.67;26.31;643.79;386.12;194.99;3.10;188.03;2744.60;8615.28;19476.07;18523.54;11851.23;32196.25;142.38;15.27;6824.75;3075.78;3748.97;94.31;57.03;58.11;55.02;5.34;4.95;5.65;4.72;5.18;4.49;52.62;58.42;47.82;3.95;3.56;3.40;0.00;0.00;59008.53;35532.02;417.84;1458.58;5571.22;50535.63;1021.39;66303.36;232973.14;57.69;239.87;51498.22;40201.01;4569.18;6188.70;539.33;198.86;0.54;417.07;17.80;1396.67;221.30;10.06;470.46;519.98;0.77;0.00;3.10;3.87;3.87;0.00;52903.40;52903.40;0.00;13.93;2.32;1160.67;11.61;13835.98;0.77;0.00;1.55;0.77;100.37;6.60;2.32;3.10;24.76;6.96;1.55;1.55;5.42;1.55
1;6;11.48;526.35;191.54;123776.44;57464.23;66312.21;36.04;15300.50;17326.99;31515.69;36458.11;14929.90;8245.25;23175.15;12769.01;112183.57;51973.64;60209.93;11592.05;5489.77;6102.28;52258.72;1.93;4805.59;1317.87;938.31;181.63;7.73;0.24;70.37;65.51;71.56;67.29;20.28;16.68;31202.50;18634.31;649.27;1174.66;796.74;16233.11;3464.10;3061.73;5856.30;3850.99;8231.40;1795.17;1599.69;2868.69;1967.85;8001.71;1668.92;1462.04;2987.61;1883.14;14070.60;4491.19;2139.71;7439.70;1045.01;339.65;27.69;677.67;406.44;205.26;3.26;197.93;2889.05;9068.71;20501.12;19498.47;12474.98;33890.79;149.87;16.08;7183.95;3237.66;3946.28;99.28;60.03;61.17;57.91;5.62;5.21;5.95;4.97;5.46;4.72;55.39;61.50;50.34;4.15;3.75;3.58;0.00;0.00;62114.25;37402.13;439.83;1535.34;5864.45;53195.40;1075.15;69793.01;245234.88;60.72;252.50;54208.65;42316.86;4809.66;6514.42;567.71;209.33;0.57;439.02;18.73;1470.18;232.95;10.59;495.22;547.35;0.81;0.00;3.26;4.07;4.07;0.00;55687.79;55687.79;0.00;14.66;2.44;1221.76;12.22;14564.19;0.81;0.00;1.63;0.81;105.65;6.95;2.44;3.26;26.06;7.33;1.63;1.63;5.70;1.63
1;7;12.09;554.05;201.62;130290.99;60488.66;69802.33;37.94;16105.79;18238.94;33174.41;38376.96;15715.68;8679.21;24394.89;13441.07;118087.97;54709.10;63378.87;12202.16;5778.71;6423.45;55009.18;2.03;5058.51;1387.23;987.70;191.19;8.14;0.25;74.07;68.96;75.32;70.83;21.35;17.56;32844.73;19615.06;683.44;1236.49;838.68;17087.48;3646.42;3222.87;6164.53;4053.67;8664.63;1889.65;1683.88;3019.67;2071.42;8422.85;1756.76;1538.99;3144.85;1982.25;14811.15;4727.57;2252.32;7831.26;1100.01;357.53;29.15;713.34;427.83;216.06;3.43;208.34;3041.11;9546.01;21580.13;20524.70;13131.56;35674.52;157.76;16.92;7562.05;3408.07;4153.98;104.50;63.19;64.39;60.96;5.92;5.49;6.26;5.23;5.74;4.97;58.30;64.73;52.99;4.37;3.94;3.77;0.00;0.00;65383.42;39370.66;462.98;1616.15;6173.10;55995.16;1131.74;73466.33;258141.98;63.92;265.79;57061.74;44544.06;5062.80;6857.29;597.59;220.35;0.60;462.13;19.72;1547.56;245.21;11.15;521.28;576.16;0.86;0.00;3.43;4.29;4.29;0.00;58618.73;58618.73;0.00;15.43;2.57;1286.06;12.86;15330.72;0.86;0.00;1.71;0.86;111.21;7.32;2.57;3.43;27.44;7.72;1.71;1.71;6.00;1.71
1;8;12.73;583.21;212.23;137148.41;63672.28;73476.14;39.94;16953.46;19198.88;34920.43;40396.80;16542.83;9136.01;25678.83;14148.49;124303.13;57588.53;66714.61;12844.38;6082.85;6761.53;57904.40;2.14;5324.75;1460.25;1039.68;201.26;8.56;0.26;77.97;72.59;79.29;74.56;22.47;18.49;34573.40;20647.43;719.41;1301.57;882.82;17986.83;3838.33;3392.50;6488.98;4267.02;9120.67;1989.11;1772.51;3178.61;2180.44;8866.16;1849.22;1619.99;3310.37;2086.58;15590.69;4976.39;2370.87;8243.44;1157.91;376.34;30.69;750.88;450.35;227.43;3.61;219.31;3201.17;10048.44;22715.93;21604.95;13822.69;37552.12;166.06;17.82;7960.05;3587.44;4372.61;110.00;66.51;67.78;64.17;6.23;5.78;6.59;5.51;6.05;5.23;61.37;68.14;55.77;4.60;4.15;3.97;0.00;0.00;68824.65;41442.80;487.35;1701.21;6498.00;58942.28;1191.30;77332.97;271728.40;67.28;279.78;60064.99;46888.49;5329.26;7218.20;629.04;231.94;0.64;486.45;20.76;1629.01;258.12;11.73;548.72;606.48;0.90;0.00;3.61;4.51;4.51;0.00;61703.93;61703.93;0.00;16.25;2.71;1353.75;13.54;16137.60;0.90;0.00;1.81;0.90;117.06;7.70;2.71;3.61;28.88;8.12;1.81;1.81;6.32;1.81
1;9;13.40;613.91;223.40;144366.75;67023.45;77343.30;42.04;17845.75;20209.35;36758.35;42522.95;17413.50;9616.85;27030.35;14893.15;130845.40;60619.50;70225.90;13520.40;6403.00;7117.40;60952.00;2.25;5605.00;1537.10;1094.40;211.85;9.02;0.28;82.07;76.41;83.46;78.48;23.66;19.46;36393.06;21734.14;757.28;1370.07;929.28;18933.50;4040.35;3571.05;6830.50;4491.60;9600.70;2093.80;1865.80;3345.90;2295.20;9332.80;1946.55;1705.25;3484.60;2196.40;16411.25;5238.30;2495.65;8677.30;1218.85;396.15;32.30;790.40;474.05;239.40;3.80;230.85;3369.65;10577.30;23911.50;22742.05;14550.20;39528.55;174.80;18.75;8379.00;3776.25;4602.75;115.79;70.02;71.35;67.55;6.56;6.08;6.94;5.80;6.37;5.51;64.60;71.73;58.71;4.85;4.37;4.18;0.00;0.00;72447.00;43624.00;513.00;1790.75;6840.00;62044.50;1254.00;81403.13;286029.89;70.82;294.50;63226.30;49356.30;5609.75;7598.10;662.15;244.15;0.67;512.05;21.85;1714.75;271.70;12.35;577.60;638.40;0.95;0.00;3.80;4.75;4.75;0.00;64951.50;64951.50;0.00;17.10;2.85;1425.00;14.25;16986.95;0.95;0.00;1.90;0.95;123.22;8.11;2.85;3.80;30.40;8.55;1.90;1.90;6.65;1.90
1;10;14.10;646.22;235.16;151965.00;70551.00;81414.00;44.25;18785.00;21273.00;38693.00;44761.00;18330.00;10123.00;28453.00;15677.00;137732.00;63810.00;73922.00;14232.00;6740.00;7492.00;64160.00;2.37;5900.00;1618.00;1152.00;223.00;9.49;0.29;86.39;80.43;87.85;82.62;24.90;20.48;38308.48;22878.04;797.13;1442.18;978.19;19930.00;4253.00;3759.00;7190.00;4728.00;10106.00;2204.00;1964.00;3522.00;2416.00;9824.00;2049.00;1795.00;3668.00;2312.00;17275.00;5514.00;2627.00;9134.00;1283.00;417;34;832;499;252;4;243;3547.00;11134.00;25170.00;23939.00;15316.00;41609.00;184.00;19.74;8820.00;3975.00;4845.00;121.89;73.70;75.10;71.10;6.90;6.40;7.30;6.10;6.70;5.80;68.00;75.50;61.80;5.10;4.60;4.40;0.00;0.00;76260.00;45920.00;540.00;1885.00;7200.00;65310.00;1320.00;85687.51;301084.10;74.55;310.00;66554.00;51954.00;5905.00;7998.00;697.00;257.00;0.70;539.00;23.00;1805.00;286.00;13.00;608.00;672.00;1.00;0.00;4.00;5.00;5.00;0.00;68370.00;68370.00;0.00;18;3;1500.00;15;17881.00;1.00;0.00;2.00;1.00;129.71;8.54;3.00;4.00;32.00;9.00;2.00;2.00;7.00;2.00
