Barrio;Anyo;Precio;Superficie (Ha) ;Densidad (hab/Ha) ;Sexo de la población;Hombres;Mujeres;Edad media de la población;De 0 a 14 años;De 15 a 29;De 30 a 44;De 45 a 64;De 65 a 79;De 80 y + ;De 65 y +;Población en etapa educativa (De 3 a 16 años -16 no incluidos-);Personas con nacionalidad española;Personas con nacionalidad española HOMBRES;Personas con nacionalidad española MUJERES;Personas con nacionalidad extranjera;Personas con nacionalidad extranjera HOMBRES;Personas con nacionalidad extranjera MUJERES;Nº total de hogares;Tamaño medio del hogar;Hogares con una mujer sola >65 años;Hogares con un hombre solo >65 años;Hogares monoparentales: una mujer adulta con uno o más menores;Hogares monoparentales: un hombre adulto con uno o más menores;Tasa bruta de natalidad 2016 (‰);Tasa de crecimiento demográfico 2016 (‰);Esperanza de vida al nacer MUJERES (mortalidad del periodo 2009-2012);Esperanza de vida al nacer HOMBRES (mortalidad del periodo 2009-2012);Esperanza de vida al nacer MUJERES;Esperanza de vida al nacer HOMBRES;Esperanza de vida > 65 años MUJERES;Esperanza de vida > 65 años HOMBRES;Renta neta media anual de los hogares (Urban Audit) 2014;Renta disponible Bruta Per Cápita 2014(a);Crecimiento/decrecimiento Renta Bruta Per Cápita 2014(a)-2008;Pensión media mensual del Distrito HOMBRES (2015);Pensión media mensual del Distrito MUJERES (2015);151 Población en etapas educativas (01/01/2017);0 a 2 años;Infantil (3 a 5 años);Primaria (6 a 11 años);Secundaria (12 a 15 años);Etapas educativas Total niños;0 a 2 años;Infantil (3 a 5 años);Primaria (6 a 11 años);Secundaria (12 a 15 años);Etapas educativas Total niñas;0 a 2 años;Infantil (3 a 5 años);Primaria (6 a 11 años);Secundaria (12 a 15 años);152 Escolarización de alumnos por tipo de centro (año escolar 2015/16);En centros PRIVADOS CONCERTADOS;En centros PRIVADOS SIN CONCIERTO;En centros PÚBLICOS;Total alumnos extranjeros;En centros PRIVADOS CONCERTADOS;En centros PRIVADOS SIN CONCIERTO;En centros PÚBLICOS;Total alumnos con necesidades de apoyo educativo;En centros PRIVADOS CONCERTADOS;En centros PRIVADOS SIN CONCIERTO;En centros PÚBLICOS;No sabe leer ni escribir o sin estudios;Primaria incompleta;Bachiller Elemental. Graduado Escolar. ESO.Formación profesional 1º grado;Formación profesional 2º grado. Bachiller Superior o BUP;Titulados medios. diplomados. arquitecto o ingeniero técnico;Estudios superiores. licenciado. arquitecto o ingeniero superior. estudios superiores no universitarios. doctorado. estudios postgraduados;Nivel de estudios desconocido y no consta;Calidad de vida relacionada con la salud (CVRS) ;Nº de personas con grado de discapacidad reconocido;Hombres;Mujeres;Mujeres por cada 100 hombres (Feminización de la discapacidad reconocida);Satisfacción de vivir en su barrio ;Calidad de vida actual en su barrio ;Convivencia vecinal;Espacios verdes;Parques infantiles ;Centros culturales;Organización de fiestas y eventos populares;Instalaciones deportivas;Servicios sociales municipales;Percepción de seguridad en Madrid;Percepción de seguridad en el barrio por el día;Percepción de seguridad en el barrio por la noche;1º Personas orinando en la calle;2º Residuos por excremento de animales domésticos;3º Molestias por ruido;Nº de edificios;Nº de viviendas;Nº Total de viviendas (Censo Edificios y Viviendas 2011);Viviendas anteriores a 1980;Estado ruinoso;Estado malo;Estado deficiente;Estado bueno;No consta;Valor catastral medio de los bienes inmuebles: personas físicas (2016);Valor catastral medio de los bienes inmuebles: personas jurídicas (2016);Superficie media de la vivienda (m2) en transacción (2016);Duración media del crédito (meses) en transacción de vivienda (2016);Nº Total de viviendas familiares (Censo Edificios y Viviendas 2011);Principal;Secundaria;Desocupada;Otro tipo;kg/habitante/año;kg/habitante/día;Relacionadas con las personas;Relacionadas con la tenencia de armas;Relacionadas con el patrimonio;Relacionadas con la tenencia y consumo de drogas;Expedientes instruidos por Agentes Tutores;Atestados/partes de accidentes de tráfico confeccionados;Total detenidos e investigados;Nº de Bibliotecas Municipales;Nº de Bibliotecas Comunidad Madrid;Nº de Centros Culturales;Centros deportivos Municipales;Gestión directa;Gestión indirecta;Superficie deportiva m2 ;Superficie deportiva m2 en cdm gestión directa;Superficie deportiva m2 en cdm gestión indirecta;Instalaciones deportivas básicas (2016);Acceso controlado;m2 de superficie en idb acceso controlado;Acceso libre ;m2 de superficie en idb acceso libre;Campos de fútbol ;Pista de atletismo ;Piscinas cubiertas;Piscinas de verano;Zonas verdes (Ha);"Relación de zona verde (m2)/habitante (deseables 15m2/hab; mínimo 10m2/hab)";Escuelas Infantiles Municipales;Escuelas Infantiles Públicas CAM;Escuelas Infantiles Privadas;Colegios Públicos Infantil y Primaria (+ 3 centros con Secundaria);Institutos Públicos de Educación Secundaria;Colegios Privados Inf o Pri o Inf y Pri;Colegios Privados Inf. Pri y Sec o Pri y Sec ;Mercados Municipales
3;1;9.01;344.51;136.65;74694.64;33816.66;40877.98;29.58;8825.38;10120.55;16135.65;20744.66;12316.96;6551.44;18868.41;7543.46;69632.48;31688.94;37943.54;5062.16;2127.72;2934.44;30411.42;1.55;3477.72;872.27;476.47;129.20;5.20;-0.02;54.49;50.92;55.37;52.33;15.40;13.13;34191.30;16894.56;417.98;1028.96;663.56;9385.04;1841.59;1878.77;3455.66;2209.02;4739.48;937.18;941.59;1751.46;1109.24;4645.57;904.41;937.18;1704.19;1099.79;10528.95;5677.92;1407.98;3443.05;530.67;96.43;20.17;414.07;172.06;78.15;6.93;86.97;1346.84;4186.75;9846.39;11922.43;7646.19;24858.93;93.28;12.36;3622.04;1648.73;1973.31;75.43;52.00;49.10;45.19;4.47;3.91;4.54;3.84;4.35;4.35;42.23;52.69;42.35;3.91;2.65;2.46;0.00;0.00;35668.97;27217.32;28.36;160.71;280.46;34632.21;567.22;84733.16;306246.35;60.06;179.62;34024.01;28263.53;1989.07;2800.20;971.21;183.40;0.50;72.48;17.02;125.42;89.50;1.26;406.51;208.61;0.63;0.63;3.15;2.52;1.89;0.63;43654.86;37717.91;5936.95;6.30;0.63;6573.50;5.67;15910.65;0.63;0.00;0.63;0.00;97.15;8.20;0.63;0.63;10.71;3.78;1.89;3.78;5.67;1.26
3;2;9.49;362.64;143.84;78625.94;35596.49;43029.45;31.13;9289.88;10653.21;16984.89;21836.48;12965.23;6896.26;19861.48;7940.48;73297.34;33356.78;39940.56;5328.59;2239.71;3088.89;32012.03;1.63;3660.75;918.17;501.55;136.00;5.47;-0.02;57.35;53.60;58.29;55.08;16.21;13.82;35990.85;17783.75;439.98;1083.12;698.49;9878.99;1938.51;1977.66;3637.53;2325.29;4988.92;986.51;991.15;1843.65;1167.62;4890.07;952.01;986.51;1793.89;1157.67;11083.10;5976.75;1482.08;3624.27;558.60;101.50;21.23;435.87;181.11;82.26;7.30;91.55;1417.73;4407.10;10364.62;12549.92;8048.62;26167.29;98.19;13.01;3812.68;1735.51;2077.17;79.40;54.73;51.68;47.57;4.71;4.11;4.78;4.05;4.58;4.58;44.45;55.46;44.58;4.11;2.79;2.59;0.00;0.00;37546.28;28649.81;29.85;169.17;295.22;36454.95;597.08;89192.80;322364.58;63.22;189.07;35814.75;29751.09;2093.75;2947.58;1022.33;193.06;0.53;76.29;17.91;132.02;94.21;1.33;427.91;219.59;0.66;0.66;3.32;2.65;1.99;0.66;45952.48;39703.06;6249.42;6.63;0.66;6919.48;5.97;16748.05;0.66;0.00;0.66;0.00;102.27;8.63;0.66;0.66;11.28;3.98;1.99;3.98;5.97;1.33
3;3;9.99;381.73;151.41;82764.14;37469.99;45294.16;32.77;9778.82;11213.90;17878.83;22985.77;13647.61;7259.22;20906.82;8358.40;77155.10;35112.40;42042.70;5609.05;2357.59;3251.46;33696.87;1.72;3853.43;966.50;527.94;143.16;5.76;-0.03;60.37;56.42;61.35;57.98;17.07;14.55;37885.10;18719.73;463.14;1140.13;735.25;10398.94;2040.54;2081.74;3828.98;2447.67;5251.50;1038.43;1043.32;1940.68;1229.07;5147.44;1002.11;1038.43;1888.30;1218.60;11666.42;6291.32;1560.09;3815.02;588.00;106.85;22.35;458.81;190.65;86.59;7.68;96.37;1492.35;4639.05;10910.12;13210.45;8472.23;27544.52;103.35;13.69;4013.34;1826.85;2186.49;83.58;57.61;54.40;50.07;4.96;4.33;5.03;4.26;4.82;4.82;46.79;58.38;46.93;4.33;2.93;2.72;0.00;0.00;39522.40;30157.70;31.43;178.08;310.76;38373.63;628.50;93887.16;339331.14;66.54;199.03;37699.74;31316.94;2203.95;3102.71;1076.14;203.22;0.56;80.31;18.86;138.97;99.16;1.40;450.43;231.15;0.70;0.70;3.49;2.79;2.10;0.70;48371.03;41792.69;6578.34;6.98;0.70;7283.66;6.29;17629.53;0.70;0.00;0.70;0.00;107.65;9.08;0.70;0.70;11.87;4.19;2.10;4.19;6.29;1.40
3;4;10.51;401.82;159.38;87120.15;39442.09;47678.06;34.50;10293.49;11804.11;18819.82;24195.55;14365.90;7641.28;22007.18;8798.31;81215.89;36960.42;44255.47;5904.26;2481.67;3422.59;35470.39;1.81;4056.24;1017.37;555.73;150.69;6.06;-0.03;63.55;59.39;64.58;61.03;17.97;15.32;39879.05;19704.98;487.52;1200.13;773.95;10946.25;2147.94;2191.31;4030.51;2576.50;5527.89;1093.08;1098.23;2042.82;1293.76;5418.36;1054.86;1093.08;1987.69;1282.74;12280.45;6622.44;1642.20;4015.81;618.95;112.47;23.52;482.96;200.68;91.15;8.09;101.44;1570.89;4883.22;11484.34;13905.73;8918.13;28994.23;108.79;14.42;4224.57;1923.00;2301.57;87.98;60.65;57.26;52.71;5.22;4.56;5.29;4.48;5.07;5.07;49.25;61.45;49.40;4.56;3.09;2.87;0.00;0.00;41602.53;31744.94;33.08;187.45;327.12;40393.30;661.58;98828.59;357190.67;70.05;209.50;39683.94;32965.20;2319.95;3266.01;1132.78;213.91;0.59;84.54;19.85;146.28;104.38;1.47;474.13;243.32;0.74;0.74;3.68;2.94;2.21;0.74;50916.87;43992.31;6924.57;7.35;0.74;7667.01;6.62;18557.39;0.74;0.00;0.74;0.00;113.31;9.56;0.74;0.74;12.50;4.41;2.21;4.41;6.62;1.47
3;5;11.07;422.96;167.77;91705.42;41517.99;50187.43;36.31;10835.25;12425.37;19810.34;25469.00;15122.00;8043.45;23165.45;9261.38;85490.41;38905.71;46584.71;6215.01;2612.28;3602.72;37337.25;1.90;4269.72;1070.91;584.98;158.63;6.38;-0.03;66.89;62.51;67.98;64.24;18.91;16.12;41977.95;20742.09;513.18;1263.30;814.68;11522.37;2260.99;2306.64;4242.64;2712.10;5818.83;1150.61;1156.03;2150.34;1361.85;5703.54;1110.38;1150.61;2092.30;1350.25;12926.78;6970.99;1728.63;4227.17;651.52;118.39;24.76;508.37;211.24;95.95;8.51;106.78;1653.57;5140.23;12088.78;14637.61;9387.51;30520.24;114.52;15.17;4446.92;2024.21;2422.71;92.61;63.84;60.28;55.48;5.49;4.80;5.57;4.72;5.34;5.34;51.84;64.69;52.00;4.80;3.25;3.02;0.00;0.00;43792.13;33415.73;34.82;197.31;344.33;42519.26;696.40;104030.09;375990.18;73.73;220.53;41772.56;34700.21;2442.05;3437.91;1192.40;225.17;0.62;88.98;20.89;153.98;109.88;1.55;499.09;256.12;0.77;0.77;3.87;3.10;2.32;0.77;53596.71;46307.69;7289.02;7.74;0.77;8070.54;6.96;19534.10;0.77;0.00;0.77;0.00;119.28;10.06;0.77;0.77;13.15;4.64;2.32;4.64;6.96;1.55
3;6;11.65;445.23;176.60;96532.02;43703.15;52828.88;38.22;11405.53;13079.34;20852.99;26809.47;15917.90;8466.79;24384.69;9748.83;89989.91;40953.37;49036.53;6542.11;2749.77;3792.34;39302.37;2.00;4494.45;1127.28;615.77;166.97;6.72;-0.03;70.41;65.80;71.56;67.62;19.91;16.97;44187.32;21833.77;540.18;1329.79;857.56;12128.81;2379.99;2428.04;4465.94;2854.84;6125.09;1211.17;1216.87;2263.51;1433.53;6003.73;1168.82;1211.17;2202.42;1421.31;13607.14;7337.89;1819.61;4449.65;685.81;124.62;26.06;535.13;222.36;101.00;8.96;112.40;1740.60;5410.77;12725.03;15408.01;9881.59;32126.57;120.55;15.97;4680.97;2130.75;2550.22;97.49;67.20;63.45;58.40;5.78;5.05;5.86;4.97;5.62;5.62;54.57;68.09;54.73;5.05;3.42;3.18;0.00;0.00;46096.98;35174.45;36.65;207.70;362.46;44757.12;733.06;109505.36;395779.14;77.61;232.13;43971.12;36526.53;2570.58;3618.85;1255.15;237.02;0.65;93.67;21.99;162.09;115.66;1.63;525.36;269.60;0.81;0.81;4.07;3.26;2.44;0.81;56417.59;48744.94;7672.65;8.15;0.81;8495.30;7.33;20562.21;0.81;0.00;0.81;0.00;125.56;10.59;0.81;0.81;13.85;4.89;2.44;4.89;7.33;1.63
3;7;12.26;468.66;185.90;101612.66;46003.31;55609.34;40.24;12005.82;13767.73;21950.51;28220.50;16755.68;8912.41;25668.09;10261.92;94726.22;43108.82;51617.40;6886.44;2894.50;3991.94;41370.92;2.11;4731.00;1186.61;648.18;175.76;7.07;-0.03;74.12;69.27;75.33;71.18;20.95;17.86;46512.97;22982.92;568.62;1399.78;902.70;12767.17;2505.25;2555.83;4700.99;3005.10;6447.46;1274.92;1280.92;2382.65;1508.98;6319.71;1230.33;1274.92;2318.34;1496.12;14323.31;7724.09;1915.38;4683.84;721.91;131.18;27.44;563.30;234.06;106.31;9.43;118.32;1832.21;5695.54;13394.77;16218.96;10401.67;33817.44;126.89;16.81;4927.33;2242.89;2684.44;102.62;70.73;66.79;61.47;6.09;5.32;6.17;5.23;5.92;5.92;57.44;71.68;57.62;5.32;3.60;3.34;0.00;0.00;48523.14;37025.74;38.58;218.63;381.53;47112.76;771.64;115268.80;416609.62;81.70;244.35;46285.39;38448.98;2705.88;3809.32;1321.21;249.50;0.68;98.60;23.15;170.62;121.75;1.71;553.01;283.79;0.86;0.86;4.29;3.43;2.57;0.86;59386.94;51310.46;8076.47;8.57;0.86;8942.42;7.72;21644.43;0.86;0.00;0.86;0.00;132.16;11.15;0.86;0.86;14.58;5.14;2.57;5.14;7.72;1.71
3;8;12.91;493.32;195.68;106960.69;48424.54;58536.15;42.35;12637.71;14492.35;23105.81;29705.79;17637.56;9381.49;27019.05;10802.02;99711.81;45377.70;54334.11;7248.88;3046.84;4202.04;43548.33;2.22;4980.00;1249.06;682.29;185.01;7.45;-0.03;78.02;72.91;79.29;74.93;22.06;18.80;48961.02;24192.55;598.54;1473.45;950.21;13439.13;2637.11;2690.35;4948.41;3163.26;6786.80;1342.02;1348.34;2508.05;1588.40;6652.33;1295.09;1342.02;2440.36;1574.86;15077.17;8130.62;2016.19;4930.36;759.91;138.08;28.88;592.94;246.38;111.91;9.93;124.55;1928.64;5995.31;14099.76;17072.59;10949.13;35597.31;133.57;17.70;5186.67;2360.94;2825.73;108.02;74.46;70.30;64.71;6.41;5.60;6.50;5.51;6.23;6.23;60.47;75.45;60.65;5.60;3.79;3.52;0.00;0.00;51076.99;38974.46;40.61;230.14;401.61;49592.38;812.25;121335.58;438536.44;86.00;257.21;48721.46;40472.61;2848.29;4009.81;1390.75;262.63;0.72;103.79;24.37;179.60;128.16;1.81;582.11;298.73;0.90;0.90;4.51;3.61;2.71;0.90;62512.57;54011.02;8501.55;9.03;0.90;9413.08;8.12;22783.61;0.90;0.00;0.90;0.00;139.12;11.74;0.90;0.90;15.34;5.42;2.71;5.42;8.12;1.81
3;9;13.59;519.29;205.98;112590.20;50973.20;61617.00;44.58;13302.85;15255.10;24321.90;31269.25;18565.85;9875.25;28441.10;11370.55;104959.80;47766.00;57193.80;7630.40;3207.20;4423.20;45840.35;2.33;5242.10;1314.80;718.20;194.75;7.84;-0.03;82.13;76.75;83.46;78.87;23.22;19.79;51537.91;25465.84;630.05;1551.00;1000.22;14146.45;2775.90;2831.95;5208.85;3329.75;7144.00;1412.65;1419.30;2640.05;1672.00;7002.45;1363.25;1412.65;2568.80;1657.75;15870.70;8558.55;2122.30;5189.85;799.90;145.35;30.40;624.15;259.35;117.80;10.45;131.10;2030.15;6310.85;14841.85;17971.15;11525.40;37470.85;140.60;18.63;5459.65;2485.20;2974.45;113.70;78.38;74.01;68.12;6.75;5.89;6.84;5.80;6.56;6.56;63.65;79.42;63.84;5.89;3.99;3.71;0.00;0.00;53765.25;41025.75;42.75;242.25;422.75;52202.50;855.00;127721.66;461617.31;90.53;270.75;51285.75;42602.75;2998.20;4220.85;1463.95;276.45;0.76;109.25;25.65;189.05;134.90;1.90;612.75;314.45;0.95;0.95;4.75;3.80;2.85;0.95;65802.70;56853.70;8949.00;9.50;0.95;9908.50;8.55;23982.75;0.95;0.00;0.95;0.00;146.44;12.36;0.95;0.95;16.15;5.70;2.85;5.70;8.55;1.90
3;10;14.30;546.62;216.82;118516.00;53656.00;64860.00;46.93;14003.00;16058.00;25602.00;32915.00;19543.00;10395.00;29938.00;11969.00;110484.00;50280.00;60204.00;8032.00;3376.00;4656.00;48253.00;2.46;5518.00;1384.00;756.00;205.00;8.25;-0.04;86.45;80.79;87.86;83.02;24.44;20.83;54250.43;26806.15;663.21;1632.63;1052.86;14891.00;2922.00;2981.00;5483.00;3505.00;7520.00;1487.00;1494.00;2779.00;1760.00;7371.00;1435.00;1487.00;2704.00;1745.00;16706.00;9009.00;2234.00;5463.00;842;153;32;657;273;124;11;138;2137.00;6643.00;15623.00;18917.00;12132.00;39443.00;148.00;19.61;5747.00;2616.00;3131.00;119.69;82.50;77.90;71.70;7.10;6.20;7.20;6.10;6.90;6.90;67.00;83.60;67.20;6.20;4.20;3.90;0.00;0.00;56595.00;43185.00;45.00;255.00;445.00;54950.00;900.00;134443.85;485912.95;95.29;285.00;53985.00;44845.00;3156.00;4443.00;1541.00;291.00;0.80;115.00;27.00;199.00;142.00;2.00;645.00;331.00;1.00;1.00;5.00;4.00;3.00;1.00;69266.00;59846.00;9420.00;10;1;10430.00;9;25245.00;1.00;0.00;1.00;0.00;154.15;13.01;1.00;1.00;17.00;6.00;3.00;6.00;9.00;2.00
